Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
160,40,0.5,False,0,0,0,0
160,40,0.5,False,0,1,0,0
160,40,0.5,False,0,2,-1,0
160,40,0.5,False,0,3,-17,0
160,40,0.5,False,0,4,-20,1
160,40,0.5,False,0,5,-19,3
160,40,0.5,False,0,6,-19,3
160,40,0.5,False,0,7,-19,3
160,40,0.5,False,0,8,-14,3
160,40,0.5,False,0,9,-17,1
160,40,0.5,False,0,10,-17,2
160,40,0.5,False,0,11,-27,0
160,40,0.5,False,0,12,-31,-1
160,40,0.5,False,0,13,-38,-3
160,40,0.5,False,0,14,-37,-1
160,40,0.5,False,0,15,-15,0
160,40,0.5,False,0,16,-1,0
160,40,0.5,False,0,17,31,-9
160,40,0.5,False,0,18,112,-21
160,40,0.5,False,0,19,71,-12
160,40,0.5,False,0,20,6,0
160,40,0.5,False,0,21,-18,12
160,40,0.5,False,0,22,-23,15
160,40,0.5,False,0,23,8,9
160,40,0.5,False,0,24,43,0
160,40,0.5,False,0,25,65,-5
160,40,0.5,False,0,26,36,-4
160,40,0.5,False,0,27,-3,4
160,40,0.5,False,0,28,-3,-1
160,40,0.5,False,0,29,14,-51
160,40,0.5,False,0,30,0,0
160,40,0.5,False,0,31,0,0
160,40,0.5,False,0,32,0,0
160,40,0.5,False,0,33,0,0
160,40,0.5,False,0,34,0,0
160,40,0.5,False,0,35,0,0
160,40,0.5,False,0,36,0,0
160,40,0.5,False,0,37,0,0
160,40,0.5,False,0,38,0,0
160,40,0.5,False,0,39,0,0
160,40,0.5,False,0,40,11,-40
160,40,0.5,False,0,41,-3,-32
160,40,0.5,False,0,42,-3,-10
160,40,0.5,False,0,43,0,-3
160,40,0.5,False,0,44,0,0
160,40,0.5,False,0,45,-16,17
160,40,0.5,False,0,46,-13,22
160,40,0.5,False,0,47,-2,13
160,40,0.5,False,0,48,-1,12
160,40,0.5,False,0,49,0,18
160,40,0.5,False,0,50,1,10
160,40,0.5,False,0,51,-2,12
160,40,0.5,False,0,52,-4,12
160,40,0.5,False,0,53,-6,11
160,40,0.5,False,0,54,0,2
160,40,0.5,False,0,55,-3,0
160,40,0.5,False,0,56,-2,0
160,40,0.5,False,0,57,0,0
160,40,0.5,False,0,58,-1,7
160,40,0.5,False,0,59,1,3
160,40,0.5,False,0,60,0,0
160,40,0.5,False,0,61,0,0
160,40,0.5,False,0,62,0,0
160,40,0.5,False,0,63,0,0
160,40,0.5,False,0,64,0,0
160,40,0.5,False,0,65,0,0
160,40,0.5,False,0,66,-12,0
160,40,0.5,False,0,67,-18,-1
160,40,0.5,False,0,68,-26,4
160,40,0.5,False,0,69,-38,6
160,40,0.5,False,0,70,-44,5
160,40,0.5,False,0,71,-23,4
160,40,0.5,False,0,72,-3,2
160,40,0.5,False,0,73,-18,2
160,40,0.5,False,0,74,-49,0
160,40,0.5,False,0,75,-58,0
160,40,0.5,False,0,76,-28,3
160,40,0.5,False,0,77,0,1
160,40,0.5,False,0,78,0,0
160,40,0.5,False,0,79,0,0
160,40,0.5,False,0,80,0,0
160,40,0.5,False,0,81,-1,0
160,40,0.5,False,1,0,0,0
160,40,0.5,False,1,1,0,0
160,40,0.5,False,1,2,-9,0
160,40,0.5,False,1,3,-18,2
160,40,0.5,False,1,4,-15,3
160,40,0.5,False,1,5,-16,3
160,40,0.5,False,1,6,-22,3
160,40,0.5,False,1,7,-16,3
160,40,0.5,False,1,8,-20,2
160,40,0.5,False,1,9,-23,2
160,40,0.5,False,1,10,-27,1
160,40,0.5,False,1,11,-24,0
160,40,0.5,False,1,12,-20,0
160,40,0.5,False,1,13,-24,1
160,40,0.5,False,1,14,-21,0
160,40,0.5,False,1,15,-20,-1
160,40,0.5,False,1,16,-12,0
160,40,0.5,False,1,17,-17,0
160,40,0.5,False,1,18,-15,0
160,40,0.5,False,1,19,-7,0
160,40,0.5,False,1,20,0,0
160,40,0.5,False,1,21,0,0
160,40,0.5,False,2,0,0,0
160,40,0.5,False,2,1,0,0
160,40,0.5,False,2,2,-8,0
160,40,0.5,False,2,3,-39,2
160,40,0.5,False,2,4,-37,2
160,40,0.5,False,2,5,-29,0
160,40,0.5,False,2,6,-27,1
160,40,0.5,False,2,7,-33,4
160,40,0.5,False,2,8,-19,1
160,40,0.5,False,2,9,-20,0
160,40,0.5,False,2,10,-31,0
160,40,0.5,False,2,11,-37,-4
160,40,0.5,False,2,12,-16,-5
160,40,0.5,False,2,13,-11,-1
160,40,0.5,False,2,14,-1,0
160,40,0.5,False,2,15,0,0
160,40,0.5,False,2,16,0,0
160,40,0.5,False,3,0,0,0
160,40,0.5,False,3,1,-1,0
160,40,0.5,False,3,2,-19,-1
160,40,0.5,False,3,3,-42,4
160,40,0.5,False,3,4,-33,2
160,40,0.5,False,3,5,-15,2
160,40,0.5,False,3,6,-9,3
160,40,0.5,False,3,7,-20,6
160,40,0.5,False,3,8,-26,8
160,40,0.5,False,3,9,-24,7
160,40,0.5,False,3,10,-19,3
160,40,0.5,False,3,11,-19,1
160,40,0.5,False,3,12,-16,2
160,40,0.5,False,3,13,-11,2
160,40,0.5,False,3,14,-17,1
160,40,0.5,False,3,15,-12,2
160,40,0.5,False,3,16,-3,0
160,40,0.5,False,3,17,-5,0
160,40,0.5,False,3,18,-7,0
160,40,0.5,False,3,19,0,0
160,40,0.5,False,3,20,0,0
160,40,0.5,False,3,21,-6,0
160,40,0.5,False,3,22,-10,0
160,40,0.5,False,3,23,-3,0
160,40,0.5,False,3,24,0,0
160,40,0.5,False,3,25,0,0
160,40,0.5,False,4,0,0,0
160,40,0.5,False,4,1,-8,0
160,40,0.5,False,4,2,-29,-1
160,40,0.5,False,4,3,-29,0
160,40,0.5,False,4,4,-14,2
160,40,0.5,False,4,5,-11,2
160,40,0.5,False,4,6,-19,6
160,40,0.5,False,4,7,-30,9
160,40,0.5,False,4,8,-25,5
160,40,0.5,False,4,9,-22,4
160,40,0.5,False,4,10,-24,4
160,40,0.5,False,4,11,-29,2
160,40,0.5,False,4,12,-22,1
160,40,0.5,False,4,13,-26,2
160,40,0.5,False,4,14,-30,4
160,40,0.5,False,4,15,-34,3
160,40,0.5,False,4,16,-26,3
160,40,0.5,False,4,17,-10,0
160,40,0.5,False,4,18,0,0
