Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
1280,160,0.5,True,0,0,38,-3
1280,160,0.5,True,0,1,171,-20
1280,160,0.5,True,0,2,345,-35
1280,160,0.5,True,0,3,513,-21
1280,160,0.5,True,0,4,408,-1
1280,160,0.5,True,0,5,305,7
1280,160,0.5,True,0,6,192,22
1280,160,0.5,True,0,7,74,26
1280,160,0.5,True,0,8,-11,2
1280,160,0.5,True,0,9,-3,-3
1280,160,0.5,True,0,10,62,-1
1280,160,0.5,True,0,11,146,-7
1280,160,0.5,True,0,12,139,-12
1280,160,0.5,True,0,13,94,-8
1280,160,0.5,True,0,14,52,-6
1280,160,0.5,True,0,15,-1,-7
1280,160,0.5,True,0,16,-1,0
1280,160,0.5,True,1,0,61,3
1280,160,0.5,True,1,1,254,10
1280,160,0.5,True,1,2,470,9
1280,160,0.5,True,1,3,606,-2
1280,160,0.5,True,1,4,411,-12
1280,160,0.5,True,1,5,279,-16
1280,160,0.5,True,1,6,152,-5
1280,160,0.5,True,1,7,15,0
1280,160,0.5,True,1,8,-3,0
1280,160,0.5,True,1,9,3,2
1280,160,0.5,True,1,10,70,7
1280,160,0.5,True,1,11,126,7
1280,160,0.5,True,1,12,122,-6
1280,160,0.5,True,1,13,47,-10
1280,160,0.5,True,1,14,1,0
1280,160,0.5,True,2,0,0,0
1280,160,0.5,True,2,1,0,0
1280,160,0.5,True,2,2,87,0
1280,160,0.5,True,2,3,407,-23
1280,160,0.5,True,2,4,559,-22
1280,160,0.5,True,2,5,563,-3
1280,160,0.5,True,2,6,409,1
1280,160,0.5,True,2,7,293,11
1280,160,0.5,True,2,8,97,10
1280,160,0.5,True,2,9,3,1
1280,160,0.5,True,2,10,-6,-2
1280,160,0.5,True,2,11,6,1
1280,160,0.5,True,2,12,14,2
1280,160,0.5,True,3,0,100,-3
1280,160,0.5,True,3,1,368,-21
1280,160,0.5,True,3,2,596,-45
1280,160,0.5,True,3,3,651,-26
1280,160,0.5,True,3,4,380,1
1280,160,0.5,True,3,5,194,15
1280,160,0.5,True,3,6,36,2
1280,160,0.5,True,3,7,-15,-3
1280,160,0.5,True,3,8,0,0
1280,160,0.5,True,3,9,8,4
1280,160,0.5,True,3,10,62,8
1280,160,0.5,True,3,11,106,0
1280,160,0.5,True,3,12,77,0
1280,160,0.5,True,3,13,13,1
1280,160,0.5,True,3,14,0,0
1280,160,0.5,True,4,0,127,-3
1280,160,0.5,True,4,1,370,-11
1280,160,0.5,True,4,2,542,-13
1280,160,0.5,True,4,3,652,-19
1280,160,0.5,True,4,4,448,-33
1280,160,0.5,True,4,5,310,-12
1280,160,0.5,True,4,6,177,24
1280,160,0.5,True,4,7,64,26
1280,160,0.5,True,4,8,-3,0
1280,160,0.5,True,4,9,-11,-4
1280,160,0.5,True,4,10,-27,0
1280,160,0.5,True,4,11,-34,2
1280,160,0.5,True,4,12,-42,-1
1280,160,0.5,True,4,13,-12,1
1280,160,0.5,True,5,0,82,-5
1280,160,0.5,True,5,1,325,-31
1280,160,0.5,True,5,2,532,-49
1280,160,0.5,True,5,3,659,-34
1280,160,0.5,True,5,4,413,5
1280,160,0.5,True,5,5,244,21
1280,160,0.5,True,5,6,85,16
1280,160,0.5,True,5,7,-1,0
1280,160,0.5,True,5,8,0,0
1280,160,0.5,True,5,9,26,8
1280,160,0.5,True,5,10,67,5
1280,160,0.5,True,5,11,50,0
1280,160,0.5,True,5,12,20,4
1280,160,0.5,True,6,0,72,0
1280,160,0.5,True,6,1,284,-11
1280,160,0.5,True,6,2,479,-18
1280,160,0.5,True,6,3,653,-16
1280,160,0.5,True,6,4,539,-3
1280,160,0.5,True,6,5,406,-7
1280,160,0.5,True,6,6,248,-11
1280,160,0.5,True,6,7,84,-13
1280,160,0.5,True,6,8,-5,0
1280,160,0.5,True,6,9,-13,2
1280,160,0.5,True,6,10,-24,3
1280,160,0.5,True,6,11,-80,1
1280,160,0.5,True,6,12,-89,6
1280,160,0.5,True,6,13,-46,3
1280,160,0.5,True,6,14,-4,0
1280,160,0.5,True,7,0,114,-4
1280,160,0.5,True,7,1,334,-14
1280,160,0.5,True,7,2,521,-12
1280,160,0.5,True,7,3,650,6
1280,160,0.5,True,7,4,428,16
1280,160,0.5,True,7,5,273,6
1280,160,0.5,True,7,6,152,0
1280,160,0.5,True,7,7,15,-1
1280,160,0.5,True,7,8,-2,0
1280,160,0.5,True,7,9,-1,0
1280,160,0.5,True,7,10,0,0
1280,160,0.5,True,8,0,54,-7
1280,160,0.5,True,8,1,206,-14
1280,160,0.5,True,8,2,388,-4
1280,160,0.5,True,8,3,536,8
1280,160,0.5,True,8,4,440,7
1280,160,0.5,True,8,5,370,2
1280,160,0.5,True,8,6,261,-6
1280,160,0.5,True,8,7,145,-16
1280,160,0.5,True,8,8,12,-3
1280,160,0.5,True,8,9,-2,2
1280,160,0.5,True,8,10,0,0
1280,160,0.5,True,9,0,33,-1
1280,160,0.5,True,9,1,191,-8
1280,160,0.5,True,9,2,390,-14
1280,160,0.5,True,9,3,577,-2
1280,160,0.5,True,9,4,477,7
1280,160,0.5,True,9,5,391,4
1280,160,0.5,True,9,6,288,-13
1280,160,0.5,True,9,7,88,-25
1280,160,0.5,True,9,8,8,-4
1280,160,0.5,True,9,9,8,6
1280,160,0.5,True,9,10,12,5
1280,160,0.5,True,9,11,0,0
1280,160,0.5,True,9,12,0,0
320,160,0.5,False,0,0,-39,-1
320,160,0.5,False,0,1,-152,5
320,160,0.5,False,0,2,-217,6
320,160,0.5,False,0,3,-182,8
320,160,0.5,False,0,4,-37,-5
320,160,0.5,False,1,0,-47,-2
320,160,0.5,False,1,1,-148,-1
320,160,0.5,False,1,2,-233,-5
320,160,0.5,False,1,3,-224,0
320,160,0.5,False,1,4,-57,0
320,160,0.5,False,2,0,-80,-3
320,160,0.5,False,2,1,-219,-1
320,160,0.5,False,2,2,-244,1
320,160,0.5,False,2,3,-126,2
320,160,0.5,False,3,0,-60,-1
320,160,0.5,False,3,1,-161,10
320,160,0.5,False,3,2,-218,4
320,160,0.5,False,3,3,-198,-6
320,160,0.5,False,3,4,-36,-3
320,160,0.5,False,4,0,-58,0
320,160,0.5,False,4,1,-180,6
320,160,0.5,False,4,2,-241,5
320,160,0.5,False,4,3,-169,0
320,160,0.5,False,4,4,-9,-1
320,160,0.5,False,5,0,-84,-3
320,160,0.5,False,5,1,-203,5
320,160,0.5,False,5,2,-230,4
320,160,0.5,False,5,3,-120,1
320,160,0.5,False,6,0,-82,-2
320,160,0.5,False,6,1,-187,4
320,160,0.5,False,6,2,-210,-1
320,160,0.5,False,6,3,-130,-7
320,160,0.5,False,6,4,0,-1
320,160,0.5,False,7,0,-22,0
320,160,0.5,False,7,1,-135,2
320,160,0.5,False,7,2,-222,7
320,160,0.5,False,7,3,-230,-1
320,160,0.5,False,7,4,-70,-1
320,160,0.5,False,7,5,0,0
320,160,0.5,False,8,0,-39,-1
320,160,0.5,False,8,1,-140,1
320,160,0.5,False,8,2,-210,2
320,160,0.5,False,8,3,-212,-3
320,160,0.5,False,8,4,-61,-1
320,160,0.5,False,8,5,2,0
320,160,0.5,False,9,0,-77,-1
320,160,0.5,False,9,1,-191,9
320,160,0.5,False,9,2,-226,3
320,160,0.5,False,9,3,-167,-3
320,160,0.5,False,9,4,-16,0
1280,160,0.5,False,0,0,-93,3
1280,160,0.5,False,0,1,-281,19
1280,160,0.5,False,0,2,-501,45
1280,160,0.5,False,0,3,-689,27
1280,160,0.5,False,0,4,-430,-27
1280,160,0.5,False,0,5,-215,-43
1280,160,0.5,False,0,6,-72,-30
1280,160,0.5,False,0,7,-25,-3
1280,160,0.5,False,0,8,-34,8
1280,160,0.5,False,0,9,-45,3
1280,160,0.5,False,0,10,-87,-8
1280,160,0.5,False,0,11,-82,1
1280,160,0.5,False,0,12,-18,1
1280,160,0.5,False,1,0,-84,11
1280,160,0.5,False,1,1,-305,18
1280,160,0.5,False,1,2,-502,8
1280,160,0.5,False,1,3,-665,8
1280,160,0.5,False,1,4,-448,23
1280,160,0.5,False,1,5,-219,5
1280,160,0.5,False,1,6,-67,0
1280,160,0.5,False,1,7,-10,0
1280,160,0.5,False,1,8,0,0
1280,160,0.5,False,1,9,-23,-4
1280,160,0.5,False,1,10,-89,-8
1280,160,0.5,False,1,11,-117,-9
1280,160,0.5,False,1,12,-46,-1
1280,160,0.5,False,2,0,-9,0
1280,160,0.5,False,2,1,-130,15
1280,160,0.5,False,2,2,-394,19
1280,160,0.5,False,2,3,-673,13
1280,160,0.5,False,2,4,-596,-2
1280,160,0.5,False,2,5,-491,-9
1280,160,0.5,False,2,6,-250,9
1280,160,0.5,False,2,7,-147,1
1280,160,0.5,False,2,8,-33,-3
1280,160,0.5,False,2,9,0,0
1280,160,0.5,False,2,10,0,0
1280,160,0.5,False,3,0,-70,6
1280,160,0.5,False,3,1,-279,8
1280,160,0.5,False,3,2,-462,30
1280,160,0.5,False,3,3,-612,50
1280,160,0.5,False,3,4,-421,22
1280,160,0.5,False,3,5,-283,-9
1280,160,0.5,False,3,6,-173,-16
1280,160,0.5,False,3,7,-127,-19
1280,160,0.5,False,3,8,-64,-13
1280,160,0.5,False,3,9,-18,-4
1280,160,0.5,False,3,10,0,0
1280,160,0.5,False,3,11,0,0
1280,160,0.5,False,4,0,-71,4
1280,160,0.5,False,4,1,-270,33
1280,160,0.5,False,4,2,-500,41
1280,160,0.5,False,4,3,-708,45
1280,160,0.5,False,4,4,-558,12
1280,160,0.5,False,4,5,-407,-14
1280,160,0.5,False,4,6,-205,-28
1280,160,0.5,False,4,7,-52,-12
1280,160,0.5,False,4,8,11,2
1280,160,0.5,False,4,9,38,3
1280,160,0.5,False,4,10,27,-6
1280,160,0.5,False,4,11,29,-3
1280,160,0.5,False,4,12,44,-8
1280,160,0.5,False,4,13,51,-7
1280,160,0.5,False,4,14,8,-3
1280,160,0.5,False,5,0,-52,3
1280,160,0.5,False,5,1,-247,12
1280,160,0.5,False,5,2,-466,26
1280,160,0.5,False,5,3,-653,48
1280,160,0.5,False,5,4,-469,26
1280,160,0.5,False,5,5,-314,-14
1280,160,0.5,False,5,6,-156,-29
1280,160,0.5,False,5,7,-58,-21
1280,160,0.5,False,5,8,-2,0
1280,160,0.5,False,5,9,0,0
1280,160,0.5,False,5,10,-20,1
1280,160,0.5,False,5,11,-18,3
1280,160,0.5,False,6,0,-86,5
1280,160,0.5,False,6,1,-305,24
1280,160,0.5,False,6,2,-530,25
