Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
640,40,0.5,False,2,2,-64,-4
640,40,0.5,False,2,3,-145,-7
640,40,0.5,False,2,4,-148,0
640,40,0.5,False,2,5,-138,-7
640,40,0.5,False,2,6,-160,-16
640,40,0.5,False,2,7,-156,-10
640,40,0.5,False,2,8,-166,-12
640,40,0.5,False,2,9,-116,-12
640,40,0.5,False,2,10,-60,-5
640,40,0.5,False,2,11,-33,0
640,40,0.5,False,2,12,-30,-2
640,40,0.5,False,2,13,-17,-1
640,40,0.5,False,2,14,-29,-1
640,40,0.5,False,2,15,0,0
640,40,0.5,False,2,16,-2,0
640,40,0.5,False,3,0,-4,0
640,40,0.5,False,3,1,-41,-4
640,40,0.5,False,3,2,-112,-7
640,40,0.5,False,3,3,-186,-8
640,40,0.5,False,3,4,-187,-16
640,40,0.5,False,3,5,-187,-14
640,40,0.5,False,3,6,-171,-14
640,40,0.5,False,3,7,-134,-8
640,40,0.5,False,3,8,-37,-3
640,40,0.5,False,3,9,-30,-2
640,40,0.5,False,3,10,-72,-7
640,40,0.5,False,3,11,-27,-4
640,40,0.5,False,3,12,-20,-2
640,40,0.5,False,3,13,-16,-1
640,40,0.5,False,3,14,-9,-1
640,40,0.5,False,3,15,-11,0
640,40,0.5,False,3,16,-24,-2
640,40,0.5,False,3,17,-11,0
640,40,0.5,False,3,18,0,0
640,40,0.5,False,4,0,0,1
640,40,0.5,False,4,1,0,0
640,40,0.5,False,4,2,0,0
640,40,0.5,False,4,3,-28,-4
640,40,0.5,False,4,4,-97,-7
640,40,0.5,False,4,5,-148,-4
640,40,0.5,False,4,6,-164,-9
640,40,0.5,False,4,7,-184,-12
640,40,0.5,False,4,8,-155,-10
640,40,0.5,False,4,9,-147,-5
640,40,0.5,False,4,10,-127,-7
640,40,0.5,False,4,11,-64,-9
640,40,0.5,False,4,12,-54,-7
640,40,0.5,False,4,13,-20,-1
640,40,0.5,False,4,14,-22,0
640,40,0.5,False,4,15,-38,0
640,40,0.5,False,4,16,-9,1
640,40,0.5,False,5,0,-40,-7
640,40,0.5,False,5,1,-125,-7
640,40,0.5,False,5,2,-184,-7
640,40,0.5,False,5,3,-238,-19
640,40,0.5,False,5,4,-223,-34
640,40,0.5,False,5,5,-207,-26
640,40,0.5,False,5,6,-162,-13
640,40,0.5,False,5,7,-83,-6
640,40,0.5,False,5,8,-24,-1
640,40,0.5,False,5,9,-12,0
640,40,0.5,False,5,10,-13,0
640,40,0.5,False,5,11,0,0
640,40,0.5,False,6,0,0,0
640,40,0.5,False,6,1,0,0
640,40,0.5,False,6,2,-39,-1
640,40,0.5,False,6,3,-155,-7
640,40,0.5,False,6,4,-194,-8
640,40,0.5,False,6,5,-212,-17
640,40,0.5,False,6,6,-210,-22
640,40,0.5,False,6,7,-197,-14
640,40,0.5,False,6,8,-117,-11
640,40,0.5,False,6,9,-78,-8
640,40,0.5,False,6,10,-73,-5
640,40,0.5,False,6,11,-31,-2
640,40,0.5,False,6,12,-3,-1
640,40,0.5,False,6,13,0,0
640,40,0.5,False,6,14,0,0
640,40,0.5,False,7,0,-29,-1
640,40,0.5,False,7,1,-93,-2
640,40,0.5,False,7,2,-137,-1
640,40,0.5,False,7,3,-195,-8
640,40,0.5,False,7,4,-164,-6
640,40,0.5,False,7,5,-144,-13
640,40,0.5,False,7,6,-105,-10
640,40,0.5,False,7,7,-108,-9
640,40,0.5,False,7,8,-85,-4
640,40,0.5,False,7,9,-49,-4
640,40,0.5,False,7,10,-36,-5
640,40,0.5,False,7,11,-35,-2
640,40,0.5,False,7,12,-43,-3
640,40,0.5,False,7,13,-22,-2
640,40,0.5,False,7,14,0,0
640,40,0.5,False,8,0,0,0
640,40,0.5,False,8,1,-28,-2
640,40,0.5,False,8,2,-73,-2
640,40,0.5,False,8,3,-155,-1
640,40,0.5,False,8,4,-163,-1
640,40,0.5,False,8,5,-174,-10
640,40,0.5,False,8,6,-176,-15
640,40,0.5,False,8,7,-185,-25
640,40,0.5,False,8,8,-127,-14
640,40,0.5,False,8,9,-88,-10
