Amplitude,Width,Visible time,From_left,Distance,Time
640,80,0.5,False,50.0,1.2676732540130615
640,80,0.5,False,108.0,1.3930692672729492
640,80,0.5,False,97.0,1.577202320098877
640,80,0.5,False,11.0,1.9936246871948242
640,80,0.5,False,94.0,1.832930564880371
640,80,0.5,False,-77.0,1.6633148193359375
640,80,0.5,False,5.0,1.65928053855896
640,80,0.5,False,-3.0,1.4211161136627197
640,80,0.5,False,39.0,1.191178798675537
640,80,0.5,False,-16.0,1.3629536628723145
640,80,0.5,False,13.0,1.481656551361084
640,80,0.5,False,4.0,1.3223397731781006
640,80,0.5,False,15.0,1.1649253368377686
640,80,0.5,False,27.0,1.7191691398620605
640,80,0.5,False,-36.0,1.1431934833526611
640,80,0.5,False,68.0,1.2024192810058594
640,80,0.5,False,-12.0,1.368089199066162
640,80,0.5,False,-42.0,1.2474331855773926
640,80,0.5,False,134.0,1.1606619358062744
640,80,0.5,False,-25.0,1.2406537532806396
640,80,0.5,False,-34.0,1.2329301834106445
640,80,0.5,False,9.0,1.348970890045166
640,80,0.5,False,61.0,1.0696628093719482
640,80,0.5,False,54.0,1.394918441772461
640,80,0.5,False,-83.0,1.6970691680908203
640,80,0.5,False,10.0,1.4122307300567627
640,80,0.5,True,-18.0,1.403700351715088
640,80,0.5,True,3.0,1.1019623279571533
640,80,0.5,True,50.0,1.3836266994476318
640,80,0.5,True,-53.0,1.2669637203216553
640,80,0.5,True,145.0,1.330091953277588
640,80,0.5,True,-76.0,1.4954240322113037
640,80,0.5,True,-46.0,1.2830634117126465
640,80,0.5,True,-1.0,1.0357837677001953
640,80,0.5,True,-73.0,0.9802660942077637
640,80,0.5,True,109.0,1.3105823993682861
640,80,0.5,True,-40.0,1.761920690536499
640,80,0.5,True,25.0,1.4131443500518799
640,80,0.5,True,69.0,1.4671955108642578
640,80,0.5,True,-129.0,1.156240463256836
640,80,0.5,True,-21.0,1.688016653060913
640,80,0.5,True,-95.0,1.3079230785369873
640,80,0.5,True,-146.0,1.6663322448730469
640,80,0.5,True,-231.0,1.3054838180541992
640,80,0.5,True,-36.0,1.4348034858703613
640,80,0.5,True,43.0,1.2674880027770996
640,80,0.5,True,75.0,1.4322724342346191
640,80,0.5,True,-132.0,1.6779954433441162
640,80,0.5,True,-19.0,1.8329081535339355
640,80,0.5,True,82.0,1.465461254119873
640,80,0.5,True,16.0,1.6437549591064453
640,80,0.5,True,-43.0,1.9886894226074219
640,80,0.5,True,29.0,1.4066038131713867
640,80,0.5,True,33.0,1.4870481491088867
640,80,0.5,True,-2.0,1.4718353748321533
640,80,0.5,True,-42.0,1.202507734298706
640,80,0.5,True,68.0,1.3635766506195068
640,80,0.5,True,15.0,1.368147373199463
640,80,0.5,True,23.0,1.2825117111206055
640,80,0.5,True,78.0,1.408724308013916
640,80,0.5,True,3.0,1.392745018005371
640,80,0.5,True,-105.0,1.0680692195892334
640,80,0.5,True,76.0,1.408071517944336
640,80,0.5,True,-62.0,1.8903231620788574
