Amplitude,Width,Visible time,From_left,Distance,Time
320,160,0.5,True,47.0,1.0057568550109863
320,160,0.5,True,-50.0,0.6968221664428711
320,160,0.5,True,-54.0,0.7455658912658691
320,160,0.5,True,-12.0,0.8501088619232178
320,160,0.5,True,25.0,0.7779691219329834
320,160,0.5,True,64.0,0.7111589908599854
320,160,0.5,True,-94.0,0.6268789768218994
320,160,0.5,True,-2.0,0.6275420188903809
320,160,0.5,True,-62.0,0.9165797233581543
320,160,0.5,True,-68.0,0.8177890777587891
1280,80,0.5,False,17.0,1.3899908065795898
1280,80,0.5,False,-82.0,1.3091061115264893
1280,80,0.5,False,73.0,1.0871427059173584
1280,80,0.5,False,48.0,1.0543789863586426
1280,80,0.5,False,87.0,1.0867438316345215
1280,80,0.5,False,-116.0,1.3243472576141357
1280,80,0.5,False,64.0,1.097393274307251
1280,80,0.5,False,64.0,1.0554771423339844
1280,80,0.5,False,29.0,0.9980549812316895
1280,80,0.5,False,54.0,0.9177699089050293
160,40,0.5,True,117.0,0.8152520656585693
160,40,0.5,True,64.0,0.7790071964263916
160,40,0.5,True,41.0,0.762441873550415
160,40,0.5,True,-2.0,0.6595661640167236
160,40,0.5,True,71.0,0.7785518169403076
160,40,0.5,True,-57.0,0.6623408794403076
160,40,0.5,True,-60.0,0.7115659713745117
160,40,0.5,True,-18.0,0.7294769287109375
160,40,0.5,True,47.0,0.7094283103942871
160,40,0.5,True,28.0,0.6948740482330322
1280,40,0.5,True,-3.0,0.9002161026000977
1280,40,0.5,True,-45.0,0.9858322143554688
1280,40,0.5,True,-110.0,1.141268014907837
1280,40,0.5,True,-158.0,1.0866248607635498
1280,40,0.5,True,1.0,1.392585039138794
1280,40,0.5,True,64.0,1.121737003326416
1280,40,0.5,True,56.0,1.2417430877685547
1280,40,0.5,True,-95.0,1.138843297958374
1280,40,0.5,True,7.0,1.341109037399292
1280,40,0.5,True,88.0,1.1726861000061035
160,160,0.5,True,95.0,0.8825600147247314
160,160,0.5,True,99.0,0.7462263107299805
160,160,0.5,True,84.0,0.7131080627441406
160,160,0.5,True,77.0,0.7670111656188965
160,160,0.5,True,63.0,0.6958646774291992
160,160,0.5,True,59.0,0.6137199401855469
160,160,0.5,True,16.0,0.6277241706848145
160,160,0.5,True,20.0,0.5929911136627197
160,160,0.5,True,19.0,0.594857931137085
160,160,0.5,True,-18.0,0.7129080295562744
1280,160,0.5,True,-1.0,1.357145071029663
1280,160,0.5,True,20.0,0.9640576839447021
1280,160,0.5,True,35.0,1.0554802417755127
1280,160,0.5,True,-112.0,1.08616304397583
1280,160,0.5,True,-89.0,1.0524799823760986
1280,160,0.5,True,52.0,1.137943983078003
1280,160,0.5,True,-13.0,1.051414966583252
1280,160,0.5,True,89.0,0.9347457885742188
1280,160,0.5,True,15.0,1.03861403465271
1280,160,0.5,True,77.0,1.3767800331115723
160,80,0.5,False,-196.0,0.7619199752807617
160,80,0.5,False,-27.0,0.6443791389465332
160,80,0.5,False,-41.0,0.7109279632568359
160,80,0.5,False,-44.0,0.629490852355957
160,80,0.5,False,-7.0,0.6629219055175781
160,80,0.5,False,29.0,0.6956360340118408
160,80,0.5,False,-15.0,0.7321372032165527
160,80,0.5,False,18.0,0.6959550380706787
160,80,0.5,False,-18.0,0.6270499229431152
160,80,0.5,False,-28.0,0.5809810161590576
320,80,0.5,False,-4.0,0.9506576061248779
320,80,0.5,False,-45.0,0.7638058662414551
320,80,0.5,False,-59.0,0.6811399459838867
320,80,0.5,False,-29.0,0.7290701866149902
320,80,0.5,False,-120.0,0.7616181373596191
320,80,0.5,False,-48.0,0.7852883338928223
320,80,0.5,False,43.0,0.6412980556488037
320,80,0.5,False,8.0,0.730633020401001
320,80,0.5,False,-97.0,0.6776909828186035
320,80,0.5,False,-15.0,0.6776998043060303
640,80,0.5,True,-367.0,0.7287991046905518
640,80,0.5,True,-178.0,0.91656494140625
640,80,0.5,True,-16.0,0.8330307006835938
640,80,0.5,True,-14.0,0.7984228134155273
640,80,0.5,True,-35.0,0.7132220268249512
640,80,0.5,True,0.0,0.6435508728027344
640,80,0.5,True,-16.0,0.7307751178741455
640,80,0.5,True,-83.0,0.7141730785369873
640,80,0.5,True,22.0,0.8819010257720947
640,80,0.5,True,-37.0,0.6634109020233154
640,40,0.5,False,30.0,0.9518601894378662
640,40,0.5,False,-4.0,0.7989680767059326
640,40,0.5,False,-120.0,0.7127392292022705
640,40,0.5,False,37.0,0.8462650775909424
640,40,0.5,False,-3.0,0.6761889457702637
640,40,0.5,False,0.0,0.8149888515472412
640,40,0.5,False,-151.0,1.0686767101287842
640,40,0.5,False,-6.0,0.7755720615386963
640,40,0.5,False,-20.0,0.9168698787689209
640,40,0.5,False,-39.0,0.936100959777832
160,80,0.5,True,-10.0,0.7109081745147705
160,80,0.5,True,-18.0,0.7625768184661865
160,80,0.5,True,-12.0,0.6101832389831543
160,80,0.5,True,-1.0,0.6264297962188721
160,80,0.5,True,-46.0,0.49164676666259766
160,80,0.5,True,-23.0,0.5429050922393799
160,80,0.5,True,-17.0,0.54215407371521
160,80,0.5,True,-65.0,0.5964248180389404
160,80,0.5,True,-19.0,0.5278592109680176
160,80,0.5,True,29.0,0.6752099990844727
1280,160,0.5,False,-140.0,1.2902090549468994
1280,160,0.5,False,-60.0,1.2217411994934082
1280,160,0.5,False,75.0,1.1039726734161377
1280,160,0.5,False,124.0,1.0684888362884521
1280,160,0.5,False,143.0,1.0202381610870361
1280,160,0.5,False,-86.0,1.0011613368988037
1280,160,0.5,False,-47.0,1.0699222087860107
1280,160,0.5,False,-103.0,1.070091962814331
1280,160,0.5,False,89.0,0.949221134185791
1280,160,0.5,False,10.0,1.0342991352081299
640,160,0.5,True,-89.0,0.6942081451416016
640,160,0.5,True,121.0,0.7482669353485107
640,160,0.5,True,-45.0,0.7652349472045898
640,160,0.5,True,-42.0,0.8644993305206299
640,160,0.5,True,-15.0,0.7654452323913574
