Amplitude,Width,Visible time,From_left,Distance,Time
320,160,0.5,True,494.0,1.0837290287017822
320,160,0.5,True,200.0,0.9349102973937988
320,160,0.5,True,26.0,0.7625617980957031
320,160,0.5,True,3.0,0.7290632724761963
320,160,0.5,True,58.0,0.7474281787872314
320,160,0.5,True,44.0,0.7629318237304688
320,160,0.5,True,5.0,0.6795589923858643
320,160,0.5,True,-11.0,0.7157058715820312
320,160,0.5,True,42.0,0.7480027675628662
320,160,0.5,True,35.0,0.6641550064086914
320,160,0.5,True,27.0,0.6609001159667969
320,160,0.5,True,-29.0,0.6261630058288574
320,160,0.5,True,-31.0,0.7454779148101807
320,160,0.5,True,-34.0,0.5946660041809082
320,160,0.5,True,-38.0,0.6299118995666504
320,160,0.5,True,-5.0,0.6768853664398193
320,160,0.5,True,22.0,0.6445677280426025
320,160,0.5,True,-10.0,0.6456601619720459
320,160,0.5,True,-36.0,0.9180548191070557
320,160,0.5,True,-38.0,0.697796106338501
320,160,0.5,True,-38.0,0.7295780181884766
320,160,0.5,True,29.0,0.6278281211853027
320,160,0.5,True,13.0,0.6952371597290039
320,160,0.5,True,-87.0,0.6295599937438965
320,160,0.5,True,-32.0,0.6799077987670898
320,160,0.5,True,-51.0,0.7314140796661377
320,160,0.5,True,-20.0,0.7116107940673828
320,160,0.5,True,-8.0,0.7288639545440674
320,160,0.5,True,25.0,0.6620438098907471
320,160,0.5,True,-16.0,0.7446839809417725
1280,160,0.5,True,139.0,0.9882729053497314
1280,160,0.5,True,-302.0,1.0150120258331299
1280,160,0.5,True,-57.0,1.3100597858428955
1280,160,0.5,True,-73.0,1.052436113357544
1280,160,0.5,True,-27.0,1.1187918186187744
1280,160,0.5,True,99.0,1.087569236755371
1280,160,0.5,True,-24.0,0.9307818412780762
1280,160,0.5,True,-43.0,1.051196813583374
1280,160,0.5,True,-65.0,1.0024187564849854
1280,160,0.5,True,-32.0,1.0858628749847412
1280,160,0.5,True,-201.0,1.1214790344238281
1280,160,0.5,True,-113.0,1.0183579921722412
1280,160,0.5,True,139.0,1.154939889907837
1280,160,0.5,True,17.0,0.949254035949707
1280,160,0.5,True,38.0,1.255997896194458
1280,160,0.5,True,-14.0,1.341480016708374
1280,160,0.5,True,27.0,1.1213891506195068
1280,160,0.5,True,-15.0,1.1360251903533936
1280,160,0.5,True,-75.0,1.0847549438476562
1280,160,0.5,True,-14.0,1.1891038417816162
1280,160,0.5,True,81.0,1.0869560241699219
1280,160,0.5,True,-4.0,1.2240309715270996
1280,160,0.5,True,-97.0,1.135535717010498
1280,160,0.5,True,-74.0,1.0698339939117432
1280,160,0.5,True,72.0,1.1373021602630615
1280,160,0.5,True,-14.0,1.1175999641418457
1280,160,0.5,True,-51.0,1.1567749977111816
1280,160,0.5,True,45.0,0.9149558544158936
1280,160,0.5,True,3.0,0.9681107997894287
1280,160,0.5,True,40.0,0.9694359302520752
640,160,0.5,True,38.0,1.0353870391845703
640,160,0.5,True,13.0,0.7802069187164307
640,160,0.5,True,-144.0,0.6954641342163086
640,160,0.5,True,-39.0,0.7475659847259521
640,160,0.5,True,56.0,0.7659387588500977
640,160,0.5,True,-68.0,0.7823970317840576
640,160,0.5,True,-36.0,0.7808480262756348
640,160,0.5,True,25.0,0.8307399749755859
640,160,0.5,True,-68.0,0.7815208435058594
640,160,0.5,True,7.0,0.7817537784576416
640,160,0.5,True,-24.0,0.7264938354492188
640,160,0.5,True,42.0,0.7815780639648438
640,160,0.5,True,41.0,0.7292077541351318
640,160,0.5,True,6.0,0.7590949535369873
640,160,0.5,True,-14.0,0.7981200218200684
640,160,0.5,True,-15.0,0.9012720584869385
640,160,0.5,True,-1.0,0.9998788833618164
640,160,0.5,True,-30.0,0.9318342208862305
640,160,0.5,True,-58.0,0.8324630260467529
640,160,0.5,True,58.0,0.9352931976318359
