Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
1280,80,0.5,False,0,24,-511,-63
1280,80,0.5,False,0,25,-90,0
1280,80,0.5,False,1,0,0,0
1280,80,0.5,False,1,1,-27,11
1280,80,0.5,False,1,2,-205,39
1280,80,0.5,False,1,3,-892,52
1280,80,0.5,False,1,4,-1427,15
1280,80,0.5,False,1,5,-1866,-5
1280,80,0.5,False,1,6,-2010,24
1280,80,0.5,False,1,7,-1926,17
1280,80,0.5,False,1,8,-2086,-14
1280,80,0.5,False,1,9,-2206,-58
1280,80,0.5,False,1,10,-2166,-138
1280,80,0.5,False,1,11,-2127,-172
1280,80,0.5,False,1,12,-1993,-115
1280,80,0.5,False,1,13,-1990,-92
1280,80,0.5,False,1,14,-1869,-161
1280,80,0.5,False,1,15,-1776,-209
1280,80,0.5,False,1,16,-1579,-261
1280,80,0.5,False,1,17,-909,-195
1280,80,0.5,False,1,18,-1217,-250
1280,80,0.5,False,1,19,-1119,-191
1280,80,0.5,False,1,20,-1092,-118
1280,80,0.5,False,1,21,-865,-95
1280,80,0.5,False,1,22,-791,-82
1280,80,0.5,False,1,23,-598,-41
1280,80,0.5,False,1,24,-168,-7
1280,80,0.5,False,2,0,0,0
1280,80,0.5,False,2,1,-223,28
1280,80,0.5,False,2,2,-744,81
1280,80,0.5,False,2,3,-1229,126
1280,80,0.5,False,2,4,-1463,128
1280,80,0.5,False,2,5,-1741,146
1280,80,0.5,False,2,6,-2015,123
1280,80,0.5,False,2,7,-2118,64
1280,80,0.5,False,2,8,-2253,3
1280,80,0.5,False,2,9,-2472,-23
1280,80,0.5,False,2,10,-2472,-52
1280,80,0.5,False,2,11,-2356,-66
1280,80,0.5,False,2,12,-2047,-55
1280,80,0.5,False,2,13,-1837,-63
1280,80,0.5,False,2,14,-1717,-54
1280,80,0.5,False,2,15,-1460,-85
1280,80,0.5,False,2,16,-1236,-85
1280,80,0.5,False,2,17,-885,-61
1280,80,0.5,False,2,18,-412,-26
1280,80,0.5,False,2,19,-241,-13
1280,80,0.5,False,3,0,-1,0
1280,80,0.5,False,3,1,-238,24
1280,80,0.5,False,3,2,-773,124
1280,80,0.5,False,3,3,-1379,189
1280,80,0.5,False,3,4,-1648,251
1280,80,0.5,False,3,5,-1929,231
1280,80,0.5,False,3,6,-2227,246
1280,80,0.5,False,3,7,-2612,251
1280,80,0.5,False,3,8,-2929,223
1280,80,0.5,False,3,9,-3218,54
1280,80,0.5,False,3,10,-2698,-29
1280,80,0.5,False,3,11,-2418,-73
